"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","343","Check sorted products by price high to low","e2e-chromium","2026-09-24","passed","2026-09-24","Inventory test","e2e/inventory.spec.ts","",""
"","822","Successful E2E purchase @regression","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo checkout test","e2e/checkout.spec.ts","",""
"","1382","All items link returns to inventory","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo navigation test","e2e/navigation.spec.ts","",""
"","405","Cart items persist after page reload","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo checkout test","e2e/checkout.spec.ts","",""
"","324","Check sorted products by price low to high","e2e-chromium","2026-09-24","passed","2026-09-24","Inventory test","e2e/inventory.spec.ts","",""
"","430","Card reflects correct name and price @regression","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo checkout test","e2e/checkout.spec.ts","",""
"","264","Unsuccessful login @smoke","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo login tests","e2e/login.spec.ts","",""
"","1281","Reset app state clears cart badge","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo navigation test","e2e/navigation.spec.ts","",""
"","470","Item can be removed from cart @regression","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo checkout test","e2e/checkout.spec.ts","",""
"","258","Check username required","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo login tests","e2e/login.spec.ts","",""
"","253","Check password required","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo login tests","e2e/login.spec.ts","",""
"","329","Successful login @smoke","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo login tests","e2e/login.spec.ts","",""
"","325","Check sorted products by name A to Z","e2e-chromium","2026-09-24","passed","2026-09-24","Inventory test","e2e/inventory.spec.ts","",""
"","2026","Open and close navigation menu","e2e-chromium","2026-09-24","passed","2026-09-24","Sauce demo navigation test","e2e/navigation.spec.ts","",""
